mtempc	year	month	jan	feb	mar	apr	may	june	july	aug	sept	oct	nov
5.8	1988	4	0	0	0	1	0	0	0	0	0	0	0
13.8	1988	5	0	0	0	0	1	0	0	0	0	0	0
17.6	1988	6	0	0	0	0	0	1	0	0	0	0	0
22.8	1988	7	0	0	0	0	0	0	1	0	0	0	0
21.3	1988	8	0	0	0	0	0	0	0	1	0	0	0
15.5	1988	9	0	0	0	0	0	0	0	0	1	0	0
7.1	1988	10	0	0	0	0	0	0	0	0	0	1	0
4.5	1988	11	0	0	0	0	0	0	0	0	0	0	1
-2.8	1988	12	0	0	0	0	0	0	0	0	0	0	0
-2.1	1989	1	1	0	0	0	0	0	0	0	0	0	0
-6.5	1989	2	0	1	0	0	0	0	0	0	0	0	0
-2.1	1989	3	0	0	1	0	0	0	0	0	0	0	0
5.1	1989	4	0	0	0	1	0	0	0	0	0	0	0
13	1989	5	0	0	0	0	1	0	0	0	0	0	0
18.3	1989	6	0	0	0	0	0	1	0	0	0	0	0
21.5	1989	7	0	0	0	0	0	0	1	0	0	0	0
19.6	1989	8	0	0	0	0	0	0	0	1	0	0	0
15.6	1989	9	0	0	0	0	0	0	0	0	1	0	0
9.8	1989	10	0	0	0	0	0	0	0	0	0	1	0
1.8	1989	11	0	0	0	0	0	0	0	0	0	0	1
-10.1	1989	12	0	0	0	0	0	0	0	0	0	0	0
-0.8	1990	1	1	0	0	0	0	0	0	0	0	0	0
-3.5	1990	2	0	1	0	0	0	0	0	0	0	0	0
0.6	1990	3	0	0	1	0	0	0	0	0	0	0	0
8.3	1990	4	0	0	0	1	0	0	0	0	0	0	0
11.6	1990	5	0	0	0	0	1	0	0	0	0	0	0
18.6	1990	6	0	0	0	0	0	1	0	0	0	0	0
20.8	1990	7	0	0	0	0	0	0	1	0	0	0	0
20.3	1990	8	0	0	0	0	0	0	0	1	0	0	0
15.3	1990	9	0	0	0	0	0	0	0	0	1	0	0
9.5	1990	10	0	0	0	0	0	0	0	0	0	1	0
4.6	1990	11	0	0	0	0	0	0	0	0	0	0	1
-1	1990	12	0	0	0	0	0	0	0	0	0	0	0
-5.7	1991	1	1	0	0	0	0	0	0	0	0	0	0
-2.4	1991	2	0	1	0	0	0	0	0	0	0	0	0
1.7	1991	3	0	0	1	0	0	0	0	0	0	0	0
8.7	1991	4	0	0	0	1	0	0	0	0	0	0	0
16.3	1991	5	0	0	0	0	1	0	0	0	0	0	0
20	1991	6	0	0	0	0	0	1	0	0	0	0	0
22.7	1991	7	0	0	0	0	0	0	1	0	0	0	0
21.1	1991	8	0	0	0	0	0	0	0	1	0	0	0
14.9	1991	9	0	0	0	0	0	0	0	0	1	0	0
10.4	1991	10	0	0	0	0	0	0	0	0	0	1	0
2.5	1991	11	0	0	0	0	0	0	0	0	0	0	1
-2.4	1991	12	0	0	0	0	0	0	0	0	0	0	0
-4.2	1992	1	1	0	0	0	0	0	0	0	0	0	0
-3.9	1992	2	0	1	0	0	0	0	0	0	0	0	0
-1.2	1992	3	0	0	1	0	0	0	0	0	0	0	0
5.6	1992	4	0	0	0	1	0	0	0	0	0	0	0
12.3	1992	5	0	0	0	0	1	0	0	0	0	0	0
16.4	1992	6	0	0	0	0	0	1	0	0	0	0	0
18	1992	7	0	0	0	0	0	0	1	0	0	0	0
17.9	1992	8	0	0	0	0	0	0	0	1	0	0	0
14.7	1992	9	0	0	0	0	0	0	0	0	1	0	0
7.4	1992	10	0	0	0	0	0	0	0	0	0	1	0
2.8	1992	11	0	0	0	0	0	0	0	0	0	0	1
-1.7	1992	12	0	0	0	0	0	0	0	0	0	0	0
-4	1993	1	1	0	0	0	0	0	0	0	0	0	0
-8.4	1993	2	0	1	0	0	0	0	0	0	0	0	0
-2.1	1993	3	0	0	1	0	0	0	0	0	0	0	0
6.2	1993	4	0	0	0	1	0	0	0	0	0	0	0
12.1	1993	5	0	0	0	0	1	0	0	0	0	0	0
17	1993	6	0	0	0	0	0	1	0	0	0	0	0
21.6	1993	7	0	0	0	0	0	0	1	0	0	0	0
21.1	1993	8	0	0	0	0	0	0	0	1	0	0	0
13.6	1993	9	0	0	0	0	0	0	0	0	1	0	0
7.9	1993	10	0	0	0	0	0	0	0	0	0	1	0
3.1	1993	11	0	0	0	0	0	0	0	0	0	0	1
-12.4	1993	12	0	0	0	0	0	0	0	0	0	0	0
